city,month_2025,avg_pm25,notes
Delhi,November,207,Severe; frequent health advisories.
Delhi,October,138,Very Poor; festival season and stubble burning.
Delhi,November,240,Severe; frequent health advisories.
Delhi,November,239,Severe; frequent health advisories.
Delhi,September,82,Moderate–Poor air; start of crop-burning season.
Delhi,September,81,Moderate–Poor air; start of crop-burning season.
Delhi,October,120,Very Poor; festival season and stubble burning.
Delhi,November,206,Severe; frequent health advisories.
Delhi,September,75,Moderate–Poor air; start of crop-burning season.
Delhi,November,221,Severe; frequent health advisories.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,October,120,Very Poor; festival season and stubble burning.
Delhi,October,138,Very Poor; festival season and stubble burning.
Delhi,October,149,Very Poor; festival season and stubble burning.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,September,89,Moderate–Poor air; start of crop-burning season.
Delhi,September,77,Moderate–Poor air; start of crop-burning season.
Delhi,November,200,Severe; frequent health advisories.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,October,134,Very Poor; festival season and stubble burning.
Delhi,October,131,Very Poor; festival season and stubble burning.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,October,133,Very Poor; festival season and stubble burning.
Delhi,October,137,Very Poor; festival season and stubble burning.
Delhi,November,217,Severe; frequent health advisories.
Delhi,September,87,Moderate–Poor air; start of crop-burning season.
Delhi,November,206,Severe; frequent health advisories.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,October,145,Very Poor; festival season and stubble burning.
Delhi,October,140,Very Poor; festival season and stubble burning.
Delhi,October,136,Very Poor; festival season and stubble burning.
Delhi,September,78,Moderate–Poor air; start of crop-burning season.
Delhi,October,129,Very Poor; festival season and stubble burning.
Delhi,November,201,Severe; frequent health advisories.
Delhi,October,150,Very Poor; festival season and stubble burning.
Delhi,September,70,Moderate–Poor air; start of crop-burning season.
Delhi,September,73,Moderate–Poor air; start of crop-burning season.
Delhi,September,83,Moderate–Poor air; start of crop-burning season.
Delhi,October,137,Very Poor; festival season and stubble burning.
Delhi,September,77,Moderate–Poor air; start of crop-burning season.
Delhi,October,122,Very Poor; festival season and stubble burning.
Delhi,November,217,Severe; frequent health advisories.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,November,222,Severe; frequent health advisories.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,October,134,Very Poor; festival season and stubble burning.
Delhi,October,148,Very Poor; festival season and stubble burning.
Delhi,November,222,Severe; frequent health advisories.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,October,138,Very Poor; festival season and stubble burning.
Delhi,September,87,Moderate–Poor air; start of crop-burning season.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,September,90,Moderate–Poor air; start of crop-burning season.
Delhi,November,222,Severe; frequent health advisories.
Delhi,October,133,Very Poor; festival season and stubble burning.
Delhi,October,138,Very Poor; festival season and stubble burning.
Delhi,November,205,Severe; frequent health advisories.
Delhi,October,133,Very Poor; festival season and stubble burning.
Delhi,October,140,Very Poor; festival season and stubble burning.
Delhi,September,89,Moderate–Poor air; start of crop-burning season.
Delhi,October,137,Very Poor; festival season and stubble burning.
Delhi,October,135,Very Poor; festival season and stubble burning.
Delhi,September,74,Moderate–Poor air; start of crop-burning season.
Delhi,November,215,Severe; frequent health advisories.
Delhi,October,130,Very Poor; festival season and stubble burning.
Delhi,November,215,Severe; frequent health advisories.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,November,224,Severe; frequent health advisories.
Delhi,October,123,Very Poor; festival season and stubble burning.
Delhi,November,231,Severe; frequent health advisories.
Delhi,October,131,Very Poor; festival season and stubble burning.
Delhi,October,123,Very Poor; festival season and stubble burning.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,November,221,Severe; frequent health advisories.
Delhi,November,209,Severe; frequent health advisories.
Delhi,October,128,Very Poor; festival season and stubble burning.
Delhi,September,90,Moderate–Poor air; start of crop-burning season.
Delhi,September,86,Moderate–Poor air; start of crop-burning season.
Delhi,September,83,Moderate–Poor air; start of crop-burning season.
Delhi,November,215,Severe; frequent health advisories.
Delhi,September,77,Moderate–Poor air; start of crop-burning season.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,October,134,Very Poor; festival season and stubble burning.
Delhi,October,127,Very Poor; festival season and stubble burning.
Delhi,November,236,Severe; frequent health advisories.
Delhi,November,209,Severe; frequent health advisories.
Delhi,October,133,Very Poor; festival season and stubble burning.
Delhi,November,234,Severe; frequent health advisories.
Delhi,October,139,Very Poor; festival season and stubble burning.
Delhi,September,80,Moderate–Poor air; start of crop-burning season.
Delhi,September,74,Moderate–Poor air; start of crop-burning season.
Delhi,November,227,Severe; frequent health advisories.
Delhi,September,90,Moderate–Poor air; start of crop-burning season.
Delhi,October,123,Very Poor; festival season and stubble burning.
Delhi,October,130,Very Poor; festival season and stubble burning.
Delhi,November,209,Severe; frequent health advisories.
Delhi,September,74,Moderate–Poor air; start of crop-burning season.
Delhi,November,200,Severe; frequent health advisories.
Delhi,October,132,Very Poor; festival season and stubble burning.
Delhi,September,90,Moderate–Poor air; start of crop-burning season.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,November,237,Severe; frequent health advisories.
Delhi,September,80,Moderate–Poor air; start of crop-burning season.
Delhi,September,82,Moderate–Poor air; start of crop-burning season.
Delhi,September,77,Moderate–Poor air; start of crop-burning season.
Delhi,November,202,Severe; frequent health advisories.
Delhi,November,224,Severe; frequent health advisories.
Delhi,October,143,Very Poor; festival season and stubble burning.
Delhi,September,87,Moderate–Poor air; start of crop-burning season.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,November,225,Severe; frequent health advisories.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,September,81,Moderate–Poor air; start of crop-burning season.
Delhi,November,222,Severe; frequent health advisories.
Delhi,November,203,Severe; frequent health advisories.
Delhi,November,224,Severe; frequent health advisories.
Delhi,October,144,Very Poor; festival season and stubble burning.
Delhi,October,144,Very Poor; festival season and stubble burning.
Delhi,November,214,Severe; frequent health advisories.
Delhi,September,72,Moderate–Poor air; start of crop-burning season.
Delhi,November,225,Severe; frequent health advisories.
Delhi,September,86,Moderate–Poor air; start of crop-burning season.
Delhi,September,76,Moderate–Poor air; start of crop-burning season.
Delhi,September,88,Moderate–Poor air; start of crop-burning season.
Delhi,September,76,Moderate–Poor air; start of crop-burning season.
Delhi,September,86,Moderate–Poor air; start of crop-burning season.
Delhi,September,85,Moderate–Poor air; start of crop-burning season.
Delhi,November,234,Severe; frequent health advisories.
Delhi,November,209,Severe; frequent health advisories.
Delhi,November,206,Severe; frequent health advisories.
Delhi,November,213,Severe; frequent health advisories.
Delhi,October,139,Very Poor; festival season and stubble burning.
Delhi,October,133,Very Poor; festival season and stubble burning.
Delhi,September,79,Moderate–Poor air; start of crop-burning season.
Delhi,September,81,Moderate–Poor air; start of crop-burning season.
Delhi,October,136,Very Poor; festival season and stubble burning.
Delhi,October,134,Very Poor; festival season and stubble burning.
Delhi,September,75,Moderate–Poor air; start of crop-burning season.
Delhi,November,238,Severe; frequent health advisories.
Delhi,November,220,Severe; frequent health advisories.
Delhi,November,200,Severe; frequent health advisories.
Delhi,October,126,Very Poor; festival season and stubble burning.
Delhi,September,77,Moderate–Poor air; start of crop-burning season.
